Field2,Unnamed: 1,Page URL,Name,Address,State,Town,Status
Donatos Pizza 814 N Main St NORTH CANTON OH,(330) 498-3700,"https://www.google.com/maps/place/Donatos+Pizza/@40.8843807,-81.4055216,17z/data=!3m1!4b1!4m5!3m4!1s0x8836d3de7cc04c95:0xbc8fe0ae9f47802a!8m2!3d40.8843767!4d-81.4033329",Donatos Pizza,814 N Main St,OH,NORTH CANTON,Scraped
Donatos Pizza 5465 Ridge Rd PARMA OH,(440) 843-6861,"https://www.google.com/maps/place/Donatos+Pizza/@41.4129823,-81.7360254,17z/data=!3m1!4b1!4m5!3m4!1s0x8830ef1d690d8977:0x96e2593285793370!8m2!3d41.4129783!4d-81.7338367",Donatos Pizza,5465 Ridge Rd,OH,PARMA,Failed
Donatos Pizza 7500 S Memorial Pkwy HUNTSVILLE AL,(256) 881-9191,"https://www.google.com/maps/place/Donatos+Pizza/@34.667499,-86.5755332,17z/data=!3m1!4b1!4m5!3m4!1s0x886212ce51d16f1d:0xc3d018d85bd3f707!8m2!3d34.6674946!4d-86.5733445",Donatos Pizza,7500 S Memorial Pkwy,AL,HUNTSVILLE,Scraped
Donatos Pizza 8142 Beechmont Ave CINCINNATI OH,(513) 474-4600,"https://www.google.com/maps/place/Donatos+Pizza/@39.0733006,-84.3315885,17z/data=!3m1!4b1!4m5!3m4!1s0x8841a9168c1c8481:0x46150386588a50c5!8m2!3d39.0732965!4d-84.3293998",Donatos Pizza,8142 Beechmont Ave,OH,CINCINNATI,Scraped
Donatos Pizza 5525 New Albany Rd E NEW ALBANY OH,(614) 855-7060,"https://www.google.com/maps/place/Donatos+Pizza/@40.0972347,-82.8205836,17z/data=!3m1!4b1!4m5!3m4!1s0x88385e004bb7edc1:0xd49efbe1ec2a707e!8m2!3d40.0972306!4d-82.8183949",Donatos Pizza,5525 New Albany Rd E,OH,NEW ALBANY,Scraped
Donatos Pizza 1391 E Johnstown Rd GAHANNA OH,(614) 855-5400,"https://www.google.com/maps/place/Donatos+Pizza/@40.0541234,-82.8459516,17z/data=!3m1!4b1!4m5!3m4!1s0x883860e76d75bfb7:0x5b089c9802205eca!8m2!3d40.0541193!4d-82.8437629",Donatos Pizza,1391 E Johnstown Rd,OH,GAHANNA,Scraped
Donatos Pizza 142 Xenia Towne Sq XENIA OH,(937) 374-3355,"https://www.google.com/maps/place/Donatos+Pizza/@39.6865261,-83.933377,17z/data=!3m1!4b1!4m5!3m4!1s0x884098763c8900ef:0x9abee39d942d44a4!8m2!3d39.686522!4d-83.9311883",Donatos Pizza,142 Xenia Towne Sq,OH,XENIA,Scraped
Donatos Pizza 5600 Airway Rd DAYTON OH,(937) 259-9559,"https://www.google.com/maps/place/Donatos+Pizza/@39.7707196,-84.1083495,17z/data=!3m1!4b1!4m5!3m4!1s0x88408335fd5697a1:0xba2f566c433ff3c5!8m2!3d39.7707155!4d-84.1061608",Donatos Pizza,5600 Airway Rd,OH,DAYTON,Scraped
Donatos Pizza 629 Montgomery Hwy VESTAVIA AL,(205) 824-1112,"https://www.google.com/maps/place/Donatos+Pizza/@33.4478743,-86.7914464,17z/data=!3m1!4b1!4m5!3m4!1s0x888919047e087bb3:0xdfc61d6dd032c618!8m2!3d33.4478698!4d-86.7892577",Donatos Pizza,629 Montgomery Hwy,AL,VESTAVIA,Failed
Donatos Pizza 5835 Madison Ave INDIANAPOLIS IN,(317) 780-7040,"https://www.google.com/maps/place/Donatos+Pizza/@39.6812026,-86.1341188,17z/data=!3m1!4b1!4m5!3m4!1s0x886b5b7776f21a4d:0x7ff1a48f0aab7a39!8m2!3d39.6811985!4d-86.1319301",Donatos Pizza,5835 Madison Ave,IN,INDIANAPOLIS,Scraped
Donatos Pizza 5805 Sunnyside Rd INDIANAPOLIS IN,(317) 823-3025,"https://www.google.com/maps/place/Donatos+Pizza/@39.8607422,-85.9743315,17z/data=!3m1!4b1!4m5!3m4!1s0x886b4bad5b41937b:0x512a8c30d0d1422d!8m2!3d39.8607381!4d-85.9721428",Donatos Pizza,5805 Sunnyside Rd,IN,INDIANAPOLIS,Scraped
Donatos Pizza 855 Lexington Ave MANSFIELD OH,(419) 756-5885,"https://www.google.com/maps/place/Donatos+Pizza/@40.7334661,-82.5355733,17z/data=!3m1!4b1!4m5!3m4!1s0x8839ea93ecc39283:0xe26d6d96716c0dd0!8m2!3d40.7334621!4d-82.5333846",Donatos Pizza,855 Lexington Ave,OH,MANSFIELD,Scraped
Donatos Pizza 1800 Patrick Dr BURLINGTON KY,(859) 689-7500,"https://www.google.com/maps/place/Donatos+Pizza/@39.0193493,-84.6967323,17z/data=!3m1!4b1!4m5!3m4!1s0x8841c5e3f00ff947:0x7219bf1b99ea2557!8m2!3d39.0193452!4d-84.6945436",Donatos Pizza,1800 Patrick Dr,KY,BURLINGTON,Scraped
Donatos Pizza 3044 Dixie Hwy EDGEWOOD KY,(859) 331-0889,"https://www.google.com/maps/place/Donatos+Pizza/@39.0222053,-84.5891456,17z/data=!3m1!4b1!4m5!3m4!1s0x8841b818ef1baa85:0x12857c3da5a22b52!8m2!3d39.0222012!4d-84.5869569",Donatos Pizza,3044 Dixie Hwy,KY,EDGEWOOD,Failed
Donatos Pizza 2692 Madison Rd CINCINNATI OH,(513) 731-0080,"https://www.google.com/maps/place/Donatos+Pizza/@39.1453456,-84.4470617,17z/data=!3m1!4b1!4m5!3m4!1s0x8841b27df170ed7b:0x948814db285680a2!8m2!3d39.1453415!4d-84.444873",Donatos Pizza,2692 Madison Rd,OH,CINCINNATI,Scraped
Donatos Pizza 166 Lancaster Pike CIRCLEVILLE OH,(740) 477-2559,"https://www.google.com/maps/place/Donatos+Pizza/@39.7206229,-83.1521353,10z/data=!4m8!1m2!2m1!1sDonatos+Pizza+166+Lancaster+Pike+CIRCLEVILLE+OH+43113-1864+(740)+477-2559!3m4!1s0x8847778bdc68da91:0x4a986daed5296797!8m2!3d39.5991019!4d-82.9327843",Donatos Pizza,166 Lancaster Pike,OH,CIRCLEVILLE,Scraped
Donatos Pizza 107 N Bridge St CHILLICOTHE OH,(740) 775-1199,"https://www.google.com/maps/place/Donatos+Pizza/@39.4681467,-83.0937072,11z/data=!4m8!1m2!2m1!1sDonatos+Pizza+107+N+Bridge+St+CHILLICOTHE+OH+45601-2616+(740)+775-1199!3m4!1s0x8847093f7da22ff5:0x5e1a2ffc1370d6a2!8m2!3d39.3368294!4d-82.9744644",Donatos Pizza,107 N Bridge St,OH,CHILLICOTHE,Scraped
Donatos Pizza 1013 High St HAMILTON OH,(513) 863-0100,"https://www.google.com/maps/place/Donatos+Pizza/@39.3959827,-84.5532735,17z/data=!3m1!4b1!4m5!3m4!1s0x88404659780dd10f:0xec486210f19cc57d!8m2!3d39.3959786!4d-84.5510848",Donatos Pizza,1013 High St,OH,HAMILTON,Scraped
Donatos Pizza 240 E Dayton Yellow Springs Rd FAIRBORN OH,(937) 879-7000,"https://www.google.com/maps/place/Donatos+Pizza/@39.788416,-84.0216754,17z/data=!3m1!4b1!4m5!3m4!1s0x88409df74d4628bd:0x9c01c70d9e88a4d1!8m2!3d39.7884119!4d-84.0194867",Donatos Pizza,240 E Dayton Yellow Springs Rd,OH,FAIRBORN,Scraped
Donatos Pizza 3959 Far Hills Ave KETTERING OH,(937) 293-3223,"https://www.google.com/maps/place/Donatos+Pizza/@39.6899441,-84.1712929,17z/data=!3m1!4b1!4m5!3m4!1s0x884085ea3d0748bd:0x790ed28bb872d8c7!8m2!3d39.68994!4d-84.1691042",Donatos Pizza,3959 Far Hills Ave,OH,KETTERING,Scraped
Donatos Pizza 6310 Prentiss School Pl CANAL WINCHESTER OH,(614) 340-9000,"https://www.google.com/maps/place/Donatos+Pizza/@39.8525196,-82.8312895,17z/data=!3m1!4b1!4m5!3m4!1s0x88387c0f827ced23:0x13ec5f1a1e565697!8m2!3d39.8525155!4d-82.8291008",Donatos Pizza,6310 Prentiss School Pl,OH,CANAL WINCHESTER,Scraped
Donatos Pizza 3070 Lakecrest Cir LEXINGTON KY,(859) 224-7772,"https://www.google.com/maps/place/Donatos+Pizza/@38.0162881,-84.5575568,17z/data=!3m1!4b1!4m5!3m4!1s0x88425cd18aebb9a5:0xe40e4cccfac8e74e!8m2!3d38.0162839!4d-84.5553681",Donatos Pizza,3070 Lakecrest Cir,KY,LEXINGTON,Scraped
Donatos Pizza 3120 Mapleleaf Dr LEXINGTON KY,(859) 543-1818,"https://www.google.com/maps/place/Donatos+Pizza/@38.0070839,-84.4304943,17z/data=!3m1!4b1!4m5!3m4!1s0x884250053753d73b:0xc46f3ad7621f1d3!8m2!3d38.0070797!4d-84.4283056",Donatos Pizza,3120 Mapleleaf Dr,KY,LEXINGTON,Scraped
Donatos Pizza 18100 Detroit Ave LAKEWOOD OH,(216) 227-7200,"https://www.google.com/maps/place/Donatos+Pizza/@41.4844155,-81.8252921,17z/data=!3m1!4b1!4m5!3m4!1s0x8830f289fa7aa689:0xcf47a62bd1f849ba!8m2!3d41.4844115!4d-81.8231034",Donatos Pizza,18100 Detroit Ave,OH,LAKEWOOD,Scraped
Donatos Pizza 2522 Bethel Rd COLUMBUS OH,(614) 442-8666,"https://www.google.com/maps/place/Donatos+Pizza/@40.0652821,-83.0896251,17z/data=!3m1!4b1!4m5!3m4!1s0x883892865394a9b9:0xfa1b5eb2451bdc4e!8m2!3d40.065278!4d-83.0874364",Donatos Pizza,2522 Bethel Rd,OH,COLUMBUS,Scraped
Donatos Pizza 1730 Hilliard Rome Rd HILLIARD OH,(614) 529-7200,"https://www.google.com/maps/place/Donatos+Pizza/@39.9863122,-83.1525712,17z/data=!3m1!4b1!4m5!3m4!1s0x883891270f8fdfcd:0xd85856e0e8628c70!8m2!3d39.9863081!4d-83.1503825",Donatos Pizza,1730 Hilliard Rome Rd,OH,HILLIARD,Scraped
Donatos Pizza 1878 Hard Rd COLUMBUS OH,(614) 792-7779,"https://www.google.com/maps/place/Donatos+Pizza/@40.1181119,-83.068087,17z/data=!3m1!4b1!4m5!3m4!1s0x8838f2bc860a97dd:0x22b40db96ea73c99!8m2!3d40.1181078!4d-83.0658983",Donatos Pizza,1878 Hard Rd,OH,COLUMBUS,Scraped
Donatos Pizza 9764 Sawmill Pkwy POWELL OH,(614) 761-5400,"https://www.google.com/maps/place/Donatos+Pizza/@40.156476,-83.0949216,17z/data=!3m1!4b1!4m5!3m4!1s0x8838ed90ffa0ccb7:0xdbc69da77f26de67!8m2!3d40.1564719!4d-83.0927329",Donatos Pizza,9764 Sawmill Pkwy,OH,POWELL,Scraped
Donatos Pizza 1645 Main St PLAINFIELD IN,(317) 838-5335,"https://www.google.com/maps/place/Donatos+Pizza/@39.7093811,-86.3813795,17z/data=!3m1!4b1!4m5!3m4!1s0x886cbb990743be0f:0xd20dd746baee0e8b!8m2!3d39.709377!4d-86.3791908",Donatos Pizza,1645 Main St,IN,PLAINFIELD,Scraped
Donatos Pizza 414 W Main St TROY OH,(937) 335-4800,"https://www.google.com/maps/place/Donatos+Pizza/@40.0411881,-84.2099154,17z/data=!3m1!4b1!4m5!3m4!1s0x883f771fe675c217:0xe018e84a7ece9bb0!8m2!3d40.041184!4d-84.2077267",Donatos Pizza,414 W Main St,OH,TROY,Scraped
Donatos Pizza 11760 Olio Rd FISHERS IN,(317) 572-1339,"https://www.google.com/maps/place/Donatos+Pizza/@39.9602243,-85.9215914,17z/data=!3m1!4b1!4m5!3m4!1s0x8814ca6545d3db1b:0x7f0e04fd6b4e54c3!8m2!3d39.9602202!4d-85.9194027",Donatos Pizza,11760 Olio Rd,IN,FISHERS,Scraped
Donatos Pizza 8000 Madison Blvd MADISON AL,(256) 772-6789,"https://www.google.com/maps/place/Donatos+Pizza/@34.6913172,-86.721007,17z/data=!3m1!4b1!4m5!3m4!1s0x88626f0c76816d65:0x16e0911d613ab55!8m2!3d34.6913128!4d-86.7188183",Donatos Pizza,8000 Madison Blvd,AL,MADISON,Scraped
Donatos Pizza 1059 N 21st St NEWARK OH,(740) 366-0777,"https://www.google.com/maps/place/Donatos+Pizza/@40.0775655,-82.4309604,17z/data=!3m1!4b1!4m5!3m4!1s0x88383d743bc099c7:0x152288b05a61fc!8m2!3d40.0775614!4d-82.4287717",Donatos Pizza,1059 N 21st St,OH,NEWARK,Scraped
Donatos Pizza 527 Hebron Rd HEATH OH,(740) 522-7980,"https://www.google.com/maps/place/Donatos+Pizza/@40.0381325,-82.4322901,17z/data=!3m1!4b1!4m5!3m4!1s0x883817b4a34f8fa5:0x11d28a5f6e29dc48!8m2!3d40.0381284!4d-82.4301014",Donatos Pizza,527 Hebron Rd,OH,HEATH,Scraped
Donatos Pizza 7580 E Main St REYNOLDSBURG OH,(614) 861-8558,"https://www.google.com/maps/place/Donatos+Pizza/@39.9622762,-82.8949119,13z/data=!4m8!1m2!2m1!1sDonatos+Pizza+7580+E+Main+St+REYNOLDSBURG+OH+43068-1208+(614)+861-8558!3m4!1s0x883864f3b03ad435:0x2552a5d4ae2ef918!8m2!3d39.9561808!4d-82.7961177",Donatos Pizza,7580 E Main St,OH,REYNOLDSBURG,Scraped
Donatos Pizza 377 Granville St GAHANNA OH,(614) 471-4111,"https://www.google.com/maps/place/Donatos+Pizza/@40.0179966,-82.870089,17z/data=!3m1!4b1!4m5!3m4!1s0x8838618334df41eb:0x69a19623bcd29653!8m2!3d40.0179925!4d-82.8679003",Donatos Pizza,377 Granville St,OH,GAHANNA,Scraped
Donatos Pizza 4238 Morse Rd COLUMBUS OH,(614) 471-7474,"https://www.google.com/maps/place/Donatos+Pizza/@40.0575513,-82.9005856,17z/data=!3m1!4b1!4m5!3m4!1s0x8838603137181719:0xc2f33de205a366b0!8m2!3d40.0575472!4d-82.8983969",Donatos Pizza,4238 Morse Rd,OH,COLUMBUS,Scraped
Donatos Pizza 8880 E 96th St FISHERS IN,(317) 595-8844,"https://www.google.com/maps/place/Donatos+Pizza/@39.9277675,-86.0145519,17z/data=!3m1!4b1!4m5!3m4!1s0x8814b358a0aaaeb3:0x5b635279ec9628f3!8m2!3d39.9277634!4d-86.0123632",Donatos Pizza,8880 E 96th St,IN,FISHERS,Scraped
Donatos Pizza 1311 S Rangeline Rd CARMEL IN,(317) 582-0422,"https://www.google.com/maps/place/Donatos+Pizza/@39.9603297,-86.128403,17z/data=!3m1!4b1!4m5!3m4!1s0x8814ada8fdfec097:0xf86a4281366387a7!8m2!3d39.9603256!4d-86.1262143",Donatos Pizza,1311 S Rangeline Rd,IN,CARMEL,Scraped
Donatos Pizza 2233 Stringtown Rd GROVE CITY OH,(614) 871-5000,"https://www.google.com/maps/place/Donatos+Pizza/@39.9978835,-83.1471368,11z/data=!3m1!5s0x883884c0ccc9e741:0xe8c76fea76402930!4m8!1m2!2m1!1sDonatos+Pizza+2233+Stringtown+Rd+GROVE+CITY+OH+43123-2928+(614)+871-5000!3m4!1s0x883884c0ddfa0599:0x3c02e48a3708963c!8m2!3d39.8782535!4d-83.0627681",Donatos Pizza,2233 Stringtown Rd,OH,GROVE CITY,Scraped
Donatos Pizza 920 N High St COLUMBUS OH,(614) 421-5100,"https://www.google.com/maps/place/Donatos+Pizza/@39.9812698,-83.0062795,17z/data=!3m1!4b1!4m5!3m4!1s0x88388eda07ca6d17:0xf610fa3c0a67e1c0!8m2!3d39.9812657!4d-83.0040908",Donatos Pizza,920 N High St,OH,COLUMBUS,Scraped
Donatos Pizza 1095 S Hamilton Rd COLUMBUS OH,(614) 231-1665,"https://www.google.com/maps/place/Donatos+Pizza/@39.9538199,-82.8798348,17z/data=!3m1!4b1!4m5!3m4!1s0x883862eee186ea93:0xa29ed0e73a12661a!8m2!3d39.9538158!4d-82.8776461",Donatos Pizza,1095 S Hamilton Rd,OH,COLUMBUS,Scraped
Donatos Pizza 860 Rombach Ave WILMINGTON OH,(937) 382-1600,"https://www.google.com/maps/place/Donatos+Pizza/@39.4465251,-83.8157004,17z/data=!3m1!4b1!4m5!3m4!1s0x8840c7029ca8c6ed:0x26c2c01287433a83!8m2!3d39.446521!4d-83.8135117",Donatos Pizza,860 Rombach Ave,OH,WILMINGTON,Scraped
Donatos Pizza 229 Lafayette St LONDON OH,(740) 852-2424,"https://www.google.com/maps/place/Donatos+Pizza/@39.8980371,-83.4401782,17z/data=!3m1!4b1!4m5!3m4!1s0x8838af41f907a89f:0x2672e39790ad415d!8m2!3d39.898033!4d-83.4379895",Donatos Pizza,229 Lafayette St,OH,LONDON,Scraped
Donatos Pizza 2769 Northland Plaza Dr COLUMBUS OH,(614) 895-0111,"https://www.google.com/maps/place/Donatos+Pizza/@40.0826423,-82.9470218,17z/data=!3m1!4b1!4m5!3m4!1s0x883863ea1b9fc36b:0x6d508dc7cd2920cd!8m2!3d40.0826382!4d-82.9448331",Donatos Pizza,2769 Northland Plaza Dr,OH,COLUMBUS,Failed
Donatos Pizza 350 Norton Rd COLUMBUS OH,(614) 878-8500,"https://www.google.com/maps/place/Donatos+Pizza/@39.9438389,-83.1434644,17z/data=!3m1!4b1!4m5!3m4!1s0x8838909fb6317723:0x77170ce108b5bdba!8m2!3d39.9438348!4d-83.1412757",Donatos Pizza,350 Norton Rd,OH,COLUMBUS,Scraped
Donatos Pizza 4461 Feedwire Rd CENTERVILLE OH,(937) 439-4222,"https://www.google.com/maps/place/Donatos+Pizza/@39.6595617,-84.1093667,17z/data=!3m1!4b1!4m5!3m4!1s0x88408ffb7ed8b157:0xa7ba22a0fb49f57a!8m2!3d39.6595576!4d-84.107178",Donatos Pizza,4461 Feedwire Rd,OH,CENTERVILLE,Scraped
Donatos Pizza 2800 Wayne Ave DAYTON OH,(937) 254-8800,"https://www.google.com/maps/place/Donatos+Pizza/@39.7394611,-84.1560446,17z/data=!3m1!4b1!4m5!3m4!1s0x884084657f2f8f47:0xb0df8e427b9f5085!8m2!3d39.739457!4d-84.1538559",Donatos Pizza,2800 Wayne Ave,OH,DAYTON,Scraped
Donatos Pizza 728 E Main St LEXINGTON KY,(859) 269-5700,"https://www.google.com/maps/place/Donatos+Pizza/@38.0352244,-84.487221,17z/data=!3m1!4b1!4m5!3m4!1s0x884244debaeac577:0x279e33a01e8ba63d!8m2!3d38.0352202!4d-84.4850323",Donatos Pizza,728 E Main St,KY,LEXINGTON,Scraped
Donatos Pizza 6810 Perimeter Loop Rd DUBLIN OH,(614) 659-0797,"https://www.google.com/maps/place/Donatos+Pizza/@40.1040376,-83.1606609,17z/data=!3m1!4b1!4m5!3m4!1s0x88389353976abd75:0x1099c240d2ca4792!8m2!3d40.1040335!4d-83.1584722",Donatos Pizza,6810 Perimeter Loop Rd,OH,DUBLIN,Scraped
Donatos Pizza 1465 W 86th St INDIANAPOLIS IN,(317) 334-9100,"https://www.google.com/maps/place/Donatos+Pizza/@39.911199,-86.1888948,17z/data=!3m1!4b1!4m5!3m4!1s0x886b54b1bed87b61:0x9abf775e75c153b!8m2!3d39.9111949!4d-86.1867061",Donatos Pizza,1465 W 86th St,IN,INDIANAPOLIS,Scraped
Donatos Pizza 1181 Mount Vernon Ave MARION OH,(740) 389-3009,"https://www.google.com/maps/place/Donatos+Pizza/@40.5805645,-83.1000356,17z/data=!3m1!4b1!4m5!3m4!1s0x88391aa2d4eb181d:0x4cc88f79eaa6d686!8m2!3d40.5805604!4d-83.0978469",Donatos Pizza,1181 Mount Vernon Ave,OH,MARION,Scraped
Donatos Pizza 1263 Cameron Ave LEWIS CENTER OH,(614) 825-2900,"https://www.google.com/maps/place/Donatos+Pizza/@40.1534285,-83.0024949,17z/data=!3m1!4b1!4m5!3m4!1s0x8838f388dbe4be01:0x16d14d8892e880dd!8m2!3d40.1534244!4d-83.0003062",Donatos Pizza,1263 Cameron Ave,OH,LEWIS CENTER,Scraped
Donatos Pizza 2922 Noe Bixby Rd COLUMBUS OH,(614) 759-8888,"https://www.google.com/maps/place/Donatos+Pizza/@39.9168052,-82.8659141,17z/data=!3m1!4b1!4m5!3m4!1s0x88387cd7dc1a4b5d:0x44aea2b8351f5026!8m2!3d39.9168011!4d-82.8637254",Donatos Pizza,2922 Noe Bixby Rd,OH,COLUMBUS,Scraped
Donatos Pizza 1000 Thurman Ave COLUMBUS OH,(614) 444-6823,"https://www.google.com/maps/place/Donatos+Pizza/@39.9388355,-82.9711415,17z/data=!3m1!4b1!4m5!3m4!1s0x883888991dc2289d:0xf29a153f0c8171e4!8m2!3d39.9388314!4d-82.9689528",Donatos Pizza,1000 Thurman Ave,OH,COLUMBUS,Scraped
Donatos Pizza 5688 Georgetown Rd INDIANAPOLIS IN,(317) 387-3100,"https://www.google.com/maps/place/Donatos+Pizza/@39.8557039,-86.244574,17z/data=!3m1!4b1!4m5!3m4!1s0x886b55e95de7abe5:0x14027e7883b9f1d7!8m2!3d39.8556998!4d-86.2423853",Donatos Pizza,5688 Georgetown Rd,IN,INDIANAPOLIS,Scraped
Donatos Pizza 1612 Northwest Blvd COLUMBUS OH,(614) 486-5363,"https://www.google.com/maps/place/Donatos+Pizza/@39.9911836,-83.0422935,17z/data=!3m1!4b1!4m5!3m4!1s0x88388e596b64d233:0xe9e690653a9af40f!8m2!3d39.9911795!4d-83.0401048",Donatos Pizza,1612 Northwest Blvd,OH,COLUMBUS,Scraped
Donatos Pizza 3389 Sullivant Ave COLUMBUS OH,(614) 276-7788,"https://www.google.com/maps/place/Donatos+Pizza/@39.9427107,-83.0912745,17z/data=!3m1!4b1!4m5!3m4!1s0x883890063ac99e35:0x2dbf83c549f8555d!8m2!3d39.9427066!4d-83.0890858",Donatos Pizza,3389 Sullivant Ave,OH,COLUMBUS,Scraped
Donatos Pizza 111 Emmaus Rd MARYSVILLE OH,(937) 642-7000,"https://www.google.com/maps/place/Donatos+Pizza/@40.2384652,-83.3861049,17z/data=!3m1!4b1!4m5!3m4!1s0x8838c5abe75e9ce5:0xb55a6ffb7f250c21!8m2!3d40.2384611!4d-83.3839162",Donatos Pizza,111 Emmaus Rd,OH,MARYSVILLE,Scraped
Donatos Pizza 1712 N Limestone St SPRINGFIELD OH,(937) 390-8090,"https://www.google.com/maps/place/Donatos+Pizza/@39.9454435,-83.8067043,17z/data=!3m1!4b1!4m5!3m4!1s0x883f5afd8b4a9309:0x71b6f74b4f5cb4d5!8m2!3d39.9454394!4d-83.8045156",Donatos Pizza,1712 N Limestone St,OH,SPRINGFIELD,Scraped
Donatos Pizza 732 S Burnett Rd SPRINGFIELD OH,(937) 327-7200,"https://www.google.com/maps/place/Donatos+Pizza/@39.912368,-83.7725456,17z/data=!3m1!4b1!4m5!3m4!1s0x883f5a0dcd16823d:0xeefffd3b984d82e8!8m2!3d39.9123639!4d-83.7703569",Donatos Pizza,732 S Burnett Rd,OH,SPRINGFIELD,Scraped
Donatos Pizza 363 S State St WESTERVILLE OH,(614) 882-5211,"https://www.google.com/maps/place/Donatos+Pizza/@40.1160825,-82.9304119,17z/data=!3m1!4b1!4m5!3m4!1s0x8838f56ad5da3443:0x14538898a3f2e868!8m2!3d40.1160784!4d-82.9282232",Donatos Pizza,363 S State St,OH,WESTERVILLE,Scraped
Donatos Pizza 5388 N High St COLUMBUS OH,(614) 846-3373,"https://www.google.com/maps/place/Donatos+Pizza/@40.0727218,-83.0207594,17z/data=!3m1!4b1!4m5!3m4!1s0x88388cec0cc4d2b7:0x9dadabe6e07cfa1a!8m2!3d40.0727177!4d-83.0185707",Donatos Pizza,5388 N High St,OH,COLUMBUS,Scraped
Donatos Pizza 713 Martin Luther King Jr Blvd ASHLAND KY,(606) 324-1000,"https://www.google.com/maps/place/Donatos+Pizza/@38.4756307,-82.6503271,17z/data=!3m1!4b1!4m5!3m4!1s0x884674279eebae0d:0xc3024ee07276b8c1!8m2!3d38.4756265!4d-82.6481384",Donatos Pizza,713 Martin Luther King Jr Blvd,KY,ASHLAND,Scraped
